car_name,manufacture,ownership,transmission,fuel_type,engine,kms_driven,Seats,car_prices
Ssangyong,2022,0st Ownership,Automatic,Diesel,4 cyl,5595, 7 Seats,51990
MG,2022,1st Ownership,Automatic,Premium,4 cyl,16, 5 Seats,19990
BMW,2022,1st Ownership,Automatic,Premium,4 cyl,8472, 4 Seats,108988
Mercedes-Benz,2011,1st Ownership,Automatic,Premium,8 cyl,136517, 4 Seats,32990
Renault,2022,1st Ownership,Automatic,Unleaded,4 cyl,1035, 5 Seats,34990
Toyota,2004,1st Ownership,Automatic,Unleaded,-,160230,,9990
Land,2017,1st Ownership,Automatic,Diesel,4 cyl,67662, 4 Seats,62280
Nissan,2000,1st Ownership,Automatic,Unleaded,4 cyl,300539, 5 Seats,2995
Toyota,2013,1st Ownership,Automatic,Premium,4 cyl,82012, 4 Seats,24888
Honda,2014,1st Ownership,Automatic,Hybrid,4 cyl,38229, 5 Seats,17900
Toyota,2009,1st Ownership,Automatic,Unleaded,-,148190,,42500
Toyota,2018,1st Ownership,Automatic,Unleaded,4 cyl,16324, 2 Seats,41999
Honda,2015,1st Ownership,Automatic,Unleaded,-,181745,,11999
Toyota,2017,1st Ownership,Automatic,Petrol,-,136296,,38999
Toyota,2016,1st Ownership,Automatic,Diesel,4 cyl,229829, 2 Seats,27995
Volkswagen,2012,1st Ownership,Automatic,Premium,4 cyl,55676, 5 Seats,14999
BMW,2014,1st Ownership,Automatic,Diesel,4 cyl,82624, 5 Seats,24985
Mitsubishi,2013,1st Ownership,Manual,Petrol,-,120020,,13999
BMW,2011,1st Ownership,Automatic,Diesel,4 cyl,95204, 5 Seats,13999
Ford,2014,1st Ownership,Automatic,Unleaded,3 cyl,76289, 5 Seats,12400
Mitsubishi,2012,1st Ownership,Automatic,Unleaded,4 cyl,219681, 7 Seats,13999
Ford,2013,1st Ownership,Automatic,Unleaded,4 cyl,98079, 5 Seats,11999
Volkswagen,2023,1st Ownership,Automatic,Diesel,6 cyl,15, 5 Seats,83887
Honda,2018,1st Ownership,Automatic,Unleaded,4 cyl,43274, 5 Seats,19900
Subaru,2012,1st Ownership,Automatic,Premium,4 cyl,105672, 5 Seats,17990
Mitsubishi,2018,1st Ownership,Automatic,Unleaded,3 cyl,36836, 5 Seats,14995
Toyota,2005,1st Ownership,Automatic,Unleaded,4 cyl,115821, 5 Seats,8499
BMW,2013,1st Ownership,Automatic,Unleaded,-,143119,,21999
Hyundai,2011,1st Ownership,Automatic,Unleaded,4 cyl,189711, 5 Seats,12990
Ford,2015,1st Ownership,Automatic,Diesel,6 cyl,173786, 7 Seats,16999
Nissan,2018,1st Ownership,Automatic,Unleaded,4 cyl,114301, 5 Seats,21950
Volkswagen,2013,1st Ownership,Manual,Premium,4 cyl,69197, 5 Seats,24880
Volkswagen,2023,1st Ownership,Automatic,Premium,-,15,,35887
Hyundai,2015,1st Ownership,Automatic,Unleaded,4 cyl,94377, 5 Seats,23888
Ford,2016,1st Ownership,Automatic,Unleaded,4 cyl,94965, 5 Seats,16999
